number,value,state,params_macd_fast,params_macd_signal,params_macd_slow,params_n_shares,params_rsi_high,params_rsi_low,params_rsi_window,params_sl,params_sma_fast,params_sma_slow,params_tp,duration
0,-0.8329140804143507,COMPLETE,9,11,18,0.2,75,39,12,0.020426760281837014,27,61,0.048322903111841814,0 days 00:00:02.854299
1,-0.8686585339685784,COMPLETE,10,8,24,0.7000000000000001,64,37,20,0.012989499364753007,14,63,0.04447411578889518,0 days 00:00:06.865412
2,-0.9722418765275244,COMPLETE,11,5,25,0.4,69,27,11,0.02058107644563452,33,64,0.02682096494749166,0 days 00:00:08.554737
3,-1.0070472627881386,COMPLETE,12,5,23,4.6,76,40,20,0.017884245842670485,18,56,0.021375540844608736,0 days 00:00:08.385904
4,-0.6677693717220017,COMPLETE,9,11,30,3.0000000000000004,66,33,11,0.02854797459754054,25,88,0.05579309401710594,0 days 00:00:08.585209
5,-0.8818330753583339,COMPLETE,10,11,21,2.8000000000000003,64,21,19,0.014562079840646143,9,73,0.03123738038749523,0 days 00:00:06.613049
6,-0.6734154264404808,COMPLETE,9,11,18,3.9000000000000004,61,36,9,0.022964576252342814,40,104,0.04916028672163949,0 days 00:00:03.165866
7,-0.7591097281932372,COMPLETE,10,7,18,3.2,62,27,8,0.01380439972864193,36,94,0.049184247133522555,0 days 00:00:03.277332
8,-0.756355638914876,COMPLETE,11,8,28,0.2,62,29,19,0.01854558790516786,31,104,0.03710164073434198,0 days 00:00:02.889330
9,-0.5457483619513085,COMPLETE,14,8,21,0.4,73,20,9,0.024133227325033167,18,86,0.029151926619664897,0 days 00:00:02.977406
10,-0.9598618152704951,COMPLETE,14,9,21,1.5000000000000002,80,20,14,0.008327250713958715,19,117,0.03538500326450463,0 days 00:00:03.233583
11,-0.40706638295937625,COMPLETE,14,9,30,1.8000000000000003,69,32,14,0.029220782135767814,24,83,0.05880003504436843,0 days 00:00:02.805993
12,0.030036983062602475,COMPLETE,14,9,27,1.6,72,32,16,0.029984698527397227,21,78,0.05893879332576998,0 days 00:00:03.195717
13,-0.1611887693966521,COMPLETE,13,9,28,1.9000000000000001,69,32,16,0.02937895707488714,23,77,0.059260043622553486,0 days 00:00:03.212927
14,-0.16472307888226137,COMPLETE,13,10,27,1.7000000000000002,72,33,17,0.02624603519434173,21,73,0.05528952143258309,0 days 00:00:03.192991
15,-0.38093579976173186,COMPLETE,13,7,27,2.2,68,24,16,0.02963378834734665,13,75,0.05945106123564259,0 days 00:00:02.941268
16,-0.7059351283995632,COMPLETE,13,12,28,1.2000000000000002,72,30,16,0.025849079051843665,29,52,0.04278168273185977,0 days 00:00:03.457323
17,-0.35439302955661667,COMPLETE,12,10,26,2.3000000000000003,78,35,17,0.026647568672699355,21,78,0.053039091077623585,0 days 00:00:02.834512
18,-0.6617382866115428,COMPLETE,12,7,29,1.0,67,27,15,0.02362538559814368,14,95,0.051981558343374805,0 days 00:00:03.501710
19,-1.007904918675847,COMPLETE,13,6,26,2.1,71,31,13,0.008060918218232706,24,67,0.04436947380717196,0 days 00:00:03.241566
20,-0.42904268660208766,COMPLETE,8,10,23,3.9000000000000004,75,34,17,0.02754949652785344,11,80,0.05979995959373792,0 days 00:00:03.560986
21,-0.27340686845697804,COMPLETE,13,10,28,1.6,73,33,18,0.02566050077597604,22,71,0.05482839565856479,0 days 00:00:03.074438
22,0.23377118039068262,COMPLETE,14,9,26,1.3000000000000003,71,29,16,0.02999521903929785,16,73,0.055142825108864625,0 days 00:00:02.980498
23,-0.07078499323787714,COMPLETE,14,9,26,1.0,70,29,15,0.02943592379734336,17,93,0.05665810629510927,0 days 00:00:02.822151
24,-0.16890218111999247,COMPLETE,14,9,25,1.2000000000000002,71,29,15,0.029644985941686547,16,92,0.051096823128607104,0 days 00:00:02.756404
25,-0.18479543411810168,COMPLETE,14,8,26,0.9,74,24,14,0.02761471271726607,16,100,0.05620824130076242,0 days 00:00:02.979186
26,-0.2914421213757101,COMPLETE,14,9,24,1.3000000000000003,77,25,18,0.02197370961564242,8,89,0.040540630933865,0 days 00:00:02.938434
27,-0.4627093325535756,COMPLETE,12,10,27,0.7000000000000001,66,29,15,0.024960637732434798,11,110,0.0469853913042017,0 days 00:00:03.350078
28,-0.10358532555213869,COMPLETE,14,12,25,2.6,70,26,12,0.027574998764956265,16,83,0.05681884001505654,0 days 00:00:03.230669
29,-0.855974391060516,COMPLETE,11,7,29,0.8,71,37,13,0.02049388749081259,26,68,0.04696360049613542,0 days 00:00:03.449593
30,-0.7628066831846205,COMPLETE,13,8,23,1.4000000000000001,74,30,18,0.016392097854305072,20,57,0.05293190812158638,0 days 00:00:03.373013
31,-0.388979650486908,COMPLETE,14,12,25,2.4000000000000004,70,26,12,0.027705643861622893,16,82,0.05621816989384227,0 days 00:00:03.586765
32,-0.41367304576905956,COMPLETE,14,12,26,2.6,70,28,13,0.027650474542482394,17,97,0.05713938140898422,0 days 00:00:03.379437
33,-0.2461799964040463,COMPLETE,14,6,25,3.4000000000000004,68,22,11,0.02833897454476304,13,85,0.05371203443601804,0 days 00:00:03.124836
34,-0.855363211356212,COMPLETE,13,9,24,1.9000000000000001,72,23,12,0.010262301681318822,14,66,0.050927305874180595,0 days 00:00:03.221527
35,0.2164287195087402,COMPLETE,14,10,27,0.5,65,26,15,0.02999146728614626,19,90,0.057289136100279685,0 days 00:00:03.186212
36,-0.901973472745959,COMPLETE,12,10,27,0.2,64,28,15,0.024502311537297802,27,91,0.022618814115017143,0 days 00:00:03.312052
37,-0.4604110222021561,COMPLETE,13,11,29,0.7000000000000001,66,28,16,0.029373103334915832,19,62,0.057118940335735446,0 days 00:00:03.078015
38,-0.7624125368353271,COMPLETE,8,9,26,0.5,65,31,17,0.02658602902292957,22,105,0.05000304616249367,0 days 00:00:03.433391
39,-0.4687414219910262,COMPLETE,14,10,27,0.5,60,39,15,0.02218313743748535,11,98,0.047200208514086815,0 days 00:00:03.183086
40,-0.11512259191436376,COMPLETE,12,11,22,0.1,63,31,19,0.02998110313723062,18,88,0.054368763427892236,0 days 00:00:03.153315
41,-0.18797220954302024,COMPLETE,14,11,25,2.7,68,25,12,0.028433931161110048,16,80,0.05774026187407907,0 days 00:00:03.090063
42,-0.19595382626525232,COMPLETE,14,8,24,4.9,70,26,10,0.027212193685902317,20,70,0.05789859833361056,0 days 00:00:03.236820
43,0.16866231967833534,COMPLETE,14,12,26,1.1,73,26,14,0.02874574457486119,15,84,0.05512683208171302,0 days 00:00:02.975772
44,0.19874575486744256,COMPLETE,14,9,28,1.0,76,28,16,0.02849878425974344,18,87,0.054430967656885244,0 days 00:00:02.543176
45,-0.32111584200291937,COMPLETE,13,8,28,1.0,76,27,14,0.018308467723233857,14,75,0.048547979568404974,0 days 00:00:02.612358
46,0.15844699489380523,COMPLETE,10,10,29,0.4,78,24,16,0.028536699318896564,19,86,0.059971597105424046,0 days 00:00:02.515834
47,-0.4062898392086831,COMPLETE,10,11,30,0.5,79,22,14,0.02522225764795795,19,88,0.03304564965233278,0 days 00:00:03.092522
48,0.08508891733796446,COMPLETE,9,10,29,0.30000000000000004,76,24,16,0.028440619882952198,18,85,0.05411213401626844,0 days 00:00:04.986105
49,-0.7209642524946719,COMPLETE,10,11,29,0.6,80,25,17,0.010788361627680945,35,90,0.05284262001288531,0 days 00:00:03.375572
50,0.39050973256410304,COMPLETE,11,10,30,1.2000000000000002,77,23,16,0.02329739259608527,12,86,0.0596881163161701,0 days 00:00:03.570662
51,0.4075160305711373,COMPLETE,11,10,30,1.2000000000000002,78,23,16,0.028815965208304782,10,85,0.05983105770290867,0 days 00:00:03.905659
52,-0.03918495228963106,COMPLETE,11,9,30,1.2000000000000002,77,21,16,0.02354759249394066,9,81,0.05834347187181485,0 days 00:00:03.638548
53,0.6193997151514473,COMPLETE,11,11,19,1.5000000000000002,75,23,15,0.02620156897561742,10,95,0.05490580638789777,0 days 00:00:03.410922
54,0.058662762114260955,COMPLETE,11,11,30,1.4000000000000001,75,22,17,0.026149342069797975,10,101,0.05152232636954486,0 days 00:00:03.262708
55,0.5053469465850998,COMPLETE,11,10,20,2.0,79,23,15,0.019607951017973236,13,95,0.058354060899722934,0 days 00:00:03.118264
56,0.42419010528286244,COMPLETE,11,10,20,2.0,79,23,15,0.0192229939677915,12,95,0.05842636165144333,0 days 00:00:03.279593
57,-0.09673074622746732,COMPLETE,11,10,19,2.0,79,21,13,0.019390623992266265,12,110,0.058425413431631074,0 days 00:00:02.580799
58,0.051608999657485624,COMPLETE,11,10,19,1.7000000000000002,79,23,15,0.01643155514521566,8,95,0.05991511752306219,0 days 00:00:02.527648
59,-0.5154877030639489,COMPLETE,10,11,20,1.6,78,20,18,0.022156320240546312,12,106,0.03755582519168686,0 days 00:00:02.476712
